min_time = 4; max_time = 258264; average_time = 3712; 
min_time = 4; max_time = 258264; average_time = 3702; 
min_time = 4; max_time = 258264; average_time = 3693; 
min_time = 4; max_time = 258264; average_time = 3692; 
min_time = 4; max_time = 258264; average_time = 3683; 
min_time = 4; max_time = 258264; average_time = 3770; 
min_time = 4; max_time = 258264; average_time = 3760; 
min_time = 4; max_time = 258264; average_time = 3755; 
min_time = 4; max_time = 258264; average_time = 3781; 
min_time = 4; max_time = 258264; average_time = 3771; 
min_time = 4; max_time = 258264; average_time = 3762; 
min_time = 4; max_time = 258264; average_time = 3752; 
min_time = 4; max_time = 258264; average_time = 3743; 
min_time = 4; max_time = 258264; average_time = 3734; 
min_time = 4; max_time = 258264; average_time = 3724; 
min_time = 4; max_time = 258264; average_time = 3720; 
min_time = 4; max_time = 258264; average_time = 3710; 
min_time = 4; max_time = 258264; average_time = 3701; 
min_time = 4; max_time = 258264; average_time = 3692; 
min_time = 4; max_time = 258264; average_time = 3683; 
min_time = 4; max_time = 258264; average_time = 3674; 
min_time = 4; max_time = 258264; average_time = 3665; 
min_time = 4; max_time = 258264; average_time = 3667; 
min_time = 4; max_time = 258264; average_time = 3659; 
min_time = 4; max_time = 258264; average_time = 3650; 
min_time = 4; max_time = 258264; average_time = 3642; 
min_time = 4; max_time = 258264; average_time = 3633; 
min_time = 4; max_time = 258264; average_time = 3624; 
min_time = 4; max_time = 258264; average_time = 3615; 
min_time = 4; max_time = 258264; average_time = 3607; 
min_time = 4; max_time = 258264; average_time = 3606; 
min_time = 4; max_time = 258264; average_time = 3602; 
min_time = 4; max_time = 258264; average_time = 3594; 
min_time = 4; max_time = 258264; average_time = 3585; 
min_time = 4; max_time = 258264; average_time = 3587; 
min_time = 4; max_time = 258264; average_time = 3586; 
min_time = 4; max_time = 258264; average_time = 3577; 
min_time = 4; max_time = 258264; average_time = 3569; 
min_time = 4; max_time = 258264; average_time = 3561; 
min_time = 4; max_time = 258264; average_time = 3552; 
min_time = 4; max_time = 258264; average_time = 3544; 
min_time = 4; max_time = 258264; average_time = 3536; 
min_time = 4; max_time = 258264; average_time = 3527; 
min_time = 4; max_time = 258264; average_time = 3551; 
min_time = 4; max_time = 258264; average_time = 3542; 
min_time = 4; max_time = 258264; average_time = 3534; 
min_time = 4; max_time = 258264; average_time = 3526; 
min_time = 4; max_time = 258264; average_time = 3518; 
min_time = 4; max_time = 258264; average_time = 3541; 
min_time = 4; max_time = 258264; average_time = 3533; 
min_time = 4; max_time = 258264; average_time = 3525; 
min_time = 4; max_time = 258264; average_time = 3519; 
min_time = 4; max_time = 258264; average_time = 3516; 
