min_time = 4; max_time = 302282; average_time = 2804; current_time = 1735; 
min_time = 4; max_time = 302282; average_time = 2797; current_time = 21; 
min_time = 4; max_time = 302282; average_time = 2789; current_time = 19; 
min_time = 4; max_time = 302282; average_time = 2890; current_time = 41369; 
min_time = 4; max_time = 302282; average_time = 2883; current_time = 24; 
min_time = 4; max_time = 302282; average_time = 2913; current_time = 14342; 
min_time = 4; max_time = 302282; average_time = 2905; current_time = 6; 
min_time = 4; max_time = 302282; average_time = 2898; current_time = 48; 
min_time = 4; max_time = 302282; average_time = 2892; current_time = 757; 
min_time = 4; max_time = 302282; average_time = 2922; current_time = 14248; 
min_time = 4; max_time = 302282; average_time = 2914; current_time = 23; 
min_time = 4; max_time = 302282; average_time = 2907; current_time = 4; 
min_time = 4; max_time = 302282; average_time = 2899; current_time = 4; 
min_time = 4; max_time = 302282; average_time = 2892; current_time = 4; 
min_time = 4; max_time = 302282; average_time = 2885; current_time = 4; 
min_time = 4; max_time = 302282; average_time = 2877; current_time = 19; 
min_time = 4; max_time = 302282; average_time = 2870; current_time = 17; 
min_time = 4; max_time = 302282; average_time = 2863; current_time = 25; 
min_time = 4; max_time = 302282; average_time = 2856; current_time = 5; 
min_time = 4; max_time = 302282; average_time = 2848; current_time = 28; 
min_time = 4; max_time = 302282; average_time = 2876; current_time = 13773; 
min_time = 4; max_time = 302282; average_time = 2869; current_time = 29; 
min_time = 4; max_time = 302282; average_time = 2862; current_time = 18; 
min_time = 4; max_time = 302282; average_time = 2855; current_time = 173; 
min_time = 4; max_time = 302282; average_time = 2848; current_time = 4; 
min_time = 4; max_time = 302282; average_time = 2841; current_time = 23; 
min_time = 4; max_time = 302282; average_time = 2834; current_time = 5; 
min_time = 4; max_time = 302282; average_time = 2827; current_time = 26; 
min_time = 4; max_time = 302282; average_time = 2820; current_time = 110; 
min_time = 4; max_time = 302282; average_time = 2813; current_time = 4; 
min_time = 4; max_time = 302282; average_time = 2806; current_time = 25; 
min_time = 4; max_time = 302282; average_time = 2800; current_time = 25; 
min_time = 4; max_time = 302282; average_time = 2793; current_time = 26; 
min_time = 4; max_time = 302282; average_time = 2786; current_time = 23; 
min_time = 4; max_time = 302282; average_time = 2779; current_time = 5; 
min_time = 4; max_time = 302282; average_time = 2799; current_time = 10733; 
min_time = 4; max_time = 302282; average_time = 2809; current_time = 7302; 
min_time = 4; max_time = 302282; average_time = 2803; current_time = 59; 
min_time = 4; max_time = 302282; average_time = 2796; current_time = 23; 
min_time = 4; max_time = 302282; average_time = 2790; current_time = 24; 
min_time = 4; max_time = 302282; average_time = 2783; current_time = 23; 
min_time = 4; max_time = 302282; average_time = 2777; current_time = 298; 
min_time = 4; max_time = 302282; average_time = 2771; current_time = 460; 
min_time = 4; max_time = 302282; average_time = 2765; current_time = 5; 
min_time = 4; max_time = 302282; average_time = 2758; current_time = 5; 
min_time = 4; max_time = 302282; average_time = 2752; current_time = 5; 
min_time = 4; max_time = 302282; average_time = 2745; current_time = 27; 
min_time = 4; max_time = 302282; average_time = 2739; current_time = 26; 
min_time = 4; max_time = 302282; average_time = 2766; current_time = 14102; 
min_time = 4; max_time = 302282; average_time = 2760; current_time = 239; 
min_time = 4; max_time = 302282; average_time = 2753; current_time = 39; 
min_time = 4; max_time = 302282; average_time = 2747; current_time = 31; 
min_time = 4; max_time = 302282; average_time = 2743; current_time = 905; 
min_time = 4; max_time = 302282; average_time = 2736; current_time = 22; 
min_time = 4; max_time = 302282; average_time = 2745; current_time = 6291; 
min_time = 4; max_time = 302282; average_time = 2738; current_time = 25; 
min_time = 4; max_time = 302282; average_time = 2732; current_time = 4; 
